EVEN_NM,EVENT_TME_DC,EVEN_BGN_DT,EVEN_END_DT,HSTN_INSTT_NM,EVEN_PLAC_NM,EVENT_DETAIL_DC
제15회 서울국제무용콩쿠르 댄스페스티벌,15회,2018-07-27,2018-07-28,,마포아트센터 아트홀 맥,"7월 24일 민족무용 페스티벌, 7월 25일 컨템포러리 페스티벌, 7월 26일 발레 페스티벌, 7월 27-28일 월드갈라가 열렸다."
제14회 합천예술제,14회,2018-07-27,2018-07-30,(사)한국예총합천지회,일해공원 야외공연장,"개막식에는 성공기원 비나리 공연과 합창단의 축하노래, 불꽃놀이를 선보였으며 경남도민예술단 경남팝스오케스트라와 함께 인기가수 정수라의 무대가 더해졌다. 문학제에는 아티스트 이승환의 연주와 함께 문정희 시인 초청 특강과 지역명사들의 애송시 낭송회를 가졌다. 음악제에는 합천의 대표 음악 주자인 합천군합창단과 합천색소폰, 한음회, 음악여행, 경남빅밴드 등이 연주했으며 예술제 마지막날에는 우수예술단체 ‘예술단 樂’의 국악제 공연 ‘어울림’을 통해 관객들과 함께 직접 참여하고 소통하며 즐길 수 있는 화합과 나눔의 한마당이 되었다."
2018 한여름 밤의 예술축제,,2018-07-27,2018-08-02,제주시청,제주 탑동 해변공연장,개막식은 7월 27일(금) 19시 30분에 탑동 해변공연장에서 25주년 기념 축하 공연이 펼쳐졌으며 8월 2일(목)까지 생활문화 동호회 및 장르별 도내 예술인들의 공연이 진행되었다.
2018 영호남연극제 IN 진주,,2018-07-30,2018-08-05,사단법인 한국연극협회,"현장아트홀, 한국남동발전 공연장","해당 슬로건은 ‘문화는 즐거움이다, 도시가 공연장이다’이다. 공식초청작은 4작품, 작은극장초청작은 6작품으로 구성된 가운데 온 가족이 함께 볼 수 있는 가족극 위주로 마련됐다."
2018 블루거제 페스티벌,,2018-07-30,2018-08-03,"한국문화예술위원회, 거제시문화예술재단",거제문화예술회관 야외공연장,"낭만적인 여름밤을 퓨전국악, 포크송, 브라스밴드, 트로트, 팝페라, 마임, 타악기 연주, 아카펠라, 뮤지컬 퍼포먼스, 전자현악, K-POP 댄스, 디스코 밴드 등의 공연으로 다양하고 재미있는 레퍼토리로 꾸몄다. 5일 동안 축제 분위기 속에서 온 가족이 함께 즐길 수 있는 공연들이 연이어 열렸다."
2018 후용페스티벌,5회,2018-08-01,2018-08-04,후용공연예술센터,후용공연예술센터,"축제의 첫 날은 극단 노뜰의 연극 '<세 자매>-멈춰진 기억의 역사', 2일(목)에는 극단 노마드의 연극 <멈추고 생각하고 햄릿>이 공연했으며, 단체 파문의 연극 <슬픈 몰골의 기사>와 극단 향연의 연극 <호모 에코노미쿠스> 각각 2일과 3일에 공연되었다. 무용단체 '고블린파티'의 <옛날 옛적에> 3일(금) 8시에 공연되었으며, 축제의 마지막 날인 4일(토) 2시에는 그림자극 <박스의 꿈>이 공연되었다."
2018 제3회 대한민국장애인국제무용제,3회,2018-08-01,2018-08-05,빛소리친구들,아르코예술극장 대극장,"‘KIADA 2018’은 각 나라를 대표하는 장애인 무용수들이 함께하는 무용 축제로, 쉽게 접하기 힘든 고품격의 작품들을 한 자리에 모았다. 한국을 포함한 네덜란드, 스위스, 이탈리아, 영국 등 총 7개 국가에서 온 14개 초청작이 준비되었으며, 이들은 장애인이라는 틀에서 벗어나 환상적인 무대를 선보였다."
제15회 대구국제호러페스티벌,15회,2018-08-02,2018-08-05,(사)대구연극협회,"대구스타디움 서편 시민광장, 야외공연장, 대구시내소극장","제15회 대구국제호러페스티벌(이하 대구호러페스티벌)이 ‘잊어라, 즐겨라, 느껴라, 미쳐라’ 라는 슬로건으로 8월 2일부터 8월 5일 까지 대구스타디움 서편 시민광장과 야외공연장, 대구시내소극장에서 개최됐다."
2018 경주국제뮤직페스티벌,,2018-08-03,2018-08-05,경주시,보문수상공연장,"이번 행사는 5개국 13개팀이 참여했고 8월 3일(금)은 클래식 페스티벌로 막을 올리며 출연진은 경북도립교향악단,사바토 라파엘레(이탈리아 유명 트럼펫터),코넬리아뢰서(오스트리아 바이올린 콩쿨 우승),김소현(예그린뮤지컬어워드 여우주연상)이 출연했다."
제30회 거창국제연극제,30회,2018-08-03,2018-08-12,"KBS창원방송총국, (사)거창연극제육성진흥회",수승대일원극장,"거창국제연극제는 5개단체, 대학 5개 단체 등 총 10단체에서 참여했다. 거창국제연극제 초청작은 30주년을 기념하고 거창군과 협력해 개최키로 한 의미로 ‘비보이를 사랑하는 발레리나’, ‘카르멘’, ‘넌센스’, ‘최현우마술극’, ‘옹알스’, ‘불매’, ‘변사또 생일잔치’, ‘놀부가 떳다’ 등 여름야외공연에 걸맞는 수준작을 초청했다."
제13회 거창전국대학연극제,13회,2018-08-03,2018-08-12,"거창군, KBS창원방송총국, (사)거창연극제육성진흥회",수승대 태양극장,"2018년 제13회 거창전국대학연극제에 출품한 작품들은 예년에 비해 무대양식이 다양했다. 다양은 개성과 독창성이 함유된 무대표현의 질적 기량이 다채로웠다. 리얼리즘극, 표현주의극, 뮤지컬극, 서사극, 오브제 메타포극 등 대학의 실험과 도전정신이 빛나는 작품들이 대학극에너지를 폭발시키기에 충분한 창조적 여력이 갖추어져 미래연극을 이어나갈 대학연극인들의 연극 혼이 수승대에 바다를 이루었다."
제18회 대전국제음악제,18회,2018-08-03,2018-08-23,"KBS대전방송총국, 대전예술의전당, 대전예술기획",대전예술의전당,"지난 18년 동안 대전시민들의 귀를 즐겁게 한 대전실내악축제가 대전국제음악제로 재탄생했다. 대전예술기획은 엑스포시민광장 전야제를 시작으로 대전예술의전당 등 대전지역 곳곳에서 제18회 대전국제음악제를 개최했다. ‘길, The Road’를 주제로 진행되는 음악제는 현재 ‘시티콘서트’라는 형식으로 대전 곳곳 전 지역에 찾아가는 공연을 했다."
2018 프라움 여름 교향악축제,,2018-08-03,2018-08-24,"경기도, 남양주시",프라움악기박물관 콘서트홀,'2018 프라움 여름 교향악 축제' 프라움악기박물관에서 '오케스트라 악기 이야기'란 주제로 다산유스오케스트라의 공연이 있었다.
2018 의령사랑 썸머 페스티벌,12회,2018-08-04,2018-08-11,의령문화원,"부림시장 주차장 야외무대, 종합사회복지관 다목적운동장","이 행사에는 전통악기인 장고와 신반지역 중고교생 동아리 댄스공연, 성악, 오보에 연주 등이 마련됐고, 같은 무대가 11일에는 의령종합사회복지관 다목적운동장에서도 개최됐다."
제10회 한국영아티스트 뮤직페스티벌,10회,2018-08-04,2018-11-24,YEUMCLASSIC,"영산아트홀, 모차르트홀, 문호아트홀","2018년 8월 4일부터 2018년 11월 24일까지 제10회 한국영아티스트 뮤직페스티벌이 영산아트홀, 모차르트홀, 문호아트홀에서 진행되었다."
2018 춘천아트페스티벌,,2018-08-07,2018-08-11,"춘천시, 춘천아트페스티벌","축제극장몸짓, 담작은도서관, 춘천시청 분수광장","이번 축제에는 춤 10개 팀, 음악 9개 팀, 어린이 공연 3개 팀으로 총 22개 팀이 참여했으며, 영화 2편과 신전통춤의 7개 레퍼토리 공연을 포함해서 총 30개의 프로그램이 마련되었다."
2018 수성 아트피아 무용축제(ADF),,2018-08-08,2018-08-09,"(재)수성문화재단 수성아트피아, (사)한국무용협회 대구광역시지회",수성아트피아 용지홀,"이번 축제의 출품작은 대구시립무용단 트레이너로 활동하는 이준욱 작가의 현대무용 ‘시기적 시기’, 대경대학교 교수 주연희 작가의 한국전통무용 ‘이애주류 태평무’, 엘(Aile)발레단 예술감독 천소연 작가의 발레 ‘보통의 존재’, 미무컴퍼니 대표 김정미 작가의 한국창작무용 ‘아무것도 아닌’으로 총 4작품이 공연되었다."
제5회 명주인형극제,5회,2018-08-08,2018-08-12,명주인형극제 추진위원회,"명주예술마당, 작은 공연장 단, 강릉 대도호부 관아",강릉 명주예술마당 일대에서 열린 '제5회 명주인형극제'에 유료 관람객 만204명이 방문했다.
2018 제주국제관악제,23회,2018-08-08,2018-08-16,"제주도, 제주국제관악제조직위원회","제주국제컨벤션센터, 해변공연장 외",국제관악제에는 26개 나라 80여 개 팀에 아티스트 4천여 명이 참가했다. 국내에서는 처음으로 선보이는 관악뮤지컬부터 스위스 코미디 브라더스의 재미있는 클래식 퍼포먼스까지 117회의 공연이 진행되었다.
2018 청소년여름음악제,,2018-08-09,2018-08-11,,강동아트센터 소극장 드림,"8월 9일(목)에는 벨루스 콰르텟의 <60분간의 세계일주>, 8월 10일(금)에는 카로스타악기앙상블의 '푸름을 두드리다Ⅱ', 8월 11일(토)에는 쁘띠꼬숑 앙상의 <클래식 그림책 콘서트 - 세 가지 질문>이 공연됐다."
2018 광명인형극제 - 한 여름 하얀 밤,,2018-08-10,2018-08-12,,"광명시민회관 야외 공간, 시민 운동장","2018 광명인형극제 <한여름 하얀 밤>'은 무료 야외 공연 예술 축제로 기획되어, 총 18편의 인형극과 오브제 극을 만나보았다. 금설 복합 예술 소의 <거울아 거울아>, 극단 몸꼴의 <충동>, 공작소 365의 <골목길 행진'앨리스'>, 창작중심 단디의 공중 퍼포먼스 <단디우화>, 마린보이의 <나홀로 서커스> 등 다채로운 공연들이 3일간 펼쳐졌다."
지역공연예술프리마켓 제5회 대구아트굿페어,5회,2018-08-11,2018-08-18,꿈꾸는씨어터,꿈꾸는씨어터,8월 11일 프리뮤직 밴드 몰랑의 공연 ‘여름 따윈 몰랑’을 포함해 4편의 공연을 준비했다. 15일에는 지역의 젊은 연극인들로 구성된 극단 만신이 ‘조선뮤지컬 마당놀이-돈전’을 무대에 올렸다. 17일에는 국악밴드 나릿이 ‘think back to Narit’을 선보였다. 18일에는 ‘톡톡 콘서트’를 선보였다. 지역의 엔터테인먼트 회사 사우스타운 프로덕션과 마그네틱 사운드의 대표 뮤지션들이 함께 만든 공연이다.
2018 한민족합창축제,4회,2018-08-14,2018-08-16,국립합창단,"한반도통일미래센터, 예술의전당 콘서트홀","올해 4회 합창축제에는 서울대학교남가주동문합창단(미국), 프랑크푸르트한인합창단(독일), 복경한인소년소녀합창단(중국), 중국조선족항일가요합창단(중국), 하노이한인여성, 어린이합창단(베트남), 코리아쿱오케스트라가 출연했다."
제30회 안동예술제,30회,2018-08-15,2018-08-15,안동시,"웅부공원, 안동문화예술의전당","공연 분야는 14일부터 15일까지 연극협회의 뮤지컬 ‘책벌레가 된 멍청이’ 공연을 시작으로 16일 무용협회 ‘춤, 희로애락(喜怒哀樂)’, 17일 연예예술인협회 ‘라스트찬스와 함께’, 18일 음악협회 ‘앙상블의 밤’, 19일 국악협회 ‘춤, 鄕愁(향수)’ 공연까지 웅부공원 특설무대에서 6일간 색다른 볼거리와 감흥을 선사했다."
2018 티엘아이 아트센터 여름 음악축제 '청소년 음악회',,2018-08-15,2018-08-19,티엘아이 아트센터,성남 티엘아이 아트센터,"15일(수)은 성악가 그룹인 ‘청울 아트컴퍼니’가 ‘한국가곡과 오페라이야기’ 콘서트로 성악음악의 감동을 전했으며 16일(목)은 앙상블 ‘제이에스 스트링’이 ‘현과 피아노의 콜라보레이션’이라는 테마로 바흐의 ‘G 선상의 아리아’에서부터 영화 ‘해리포터 메들리’까지 다양한 레퍼토리를 선사했다. 17일(금)은 ‘서울아츠스트링앙상블’이 출연하여 ‘융성웅성 국악을 여는 열쇠’라는 테마로 ‘라라랜드’, ‘응답하라 1988’ OST 등을 국악기로 연주했고, 또한 18일(토)은 바이올리니스트 이문경이 스트링 앙상블 ‘아템 콰르텟’과 함께 비발디의 ‘사계’ 전곡을 들려주며, 마지막 19일(일)은 ‘아트컴퍼니 달문’의 해설이 있는 국악 프로그램 ‘희희낙락 국악콘서트’가 펼쳐졌다."
2018 BNK 부산은행과 함께하는 부산문화회관 챔버페스티벌,,2018-08-15,2018-08-30,부산문화회관,부산문화회관 챔버홀,"개막공연 '아베끄 스트링 콰르텟'을 시작으로 바이올리니스트 이경선과 세계적인 반도네온 연주자 제이피 조프레가 함께하는 '서울비르투오지', 모더니즘적인 공연으로 유명한 '코리아 비르투오지', 음악감독 이일세의 흥미로운 해설이 함께 하는 '앙상블 코스모폴리탄' 등 부산지역 유수 앙상블의 수준 높은 라인업으로 클래식 마니아들의 뜨거운 호응을 불러일으킬 공연들을 선보였다."
제7회 NDA 국제 무용 페스티벌,7회,2018-08-16,2018-08-25,데시그나레 무브먼트,"서강대 메리홀 대극장, 소극장","한국 민간 독립 무용단이 주최하는 국제 컨템포러리 댄스 축제 'New Dance for Asia–NDA International Festival'가 올해 7번째를 맞이했다. “아시아의 빛 - Light of Asia ”이라는 주제로 2018년 8월16부터 25일까지 서강대 메리홀 대극장, 소극장에서 진행됐다. 한국, 일본, 중국, 태국, 싱가폴, 대만, 홍콩, 마카오, 말레이시아, 베트남, 라오스, 폴란드, 이탈리아, 스페인 등 12개국 60명의 아티스트들이 NDA 2018에 참여하며, 축제 기간 내에 부대행사로 해외 안무가 초청 워크샵과 심포지엄, 댄스필름 (Dance Cosmopolitan)을 진행했다."
제3회 늘푸른연극제,3회,2018-08-17,2018-09-16,사단법인 한국연극협회,"대학로예술극장 대극장, 아르코예술극장 대·소극장",'늘푸른 연극제'는 우리 연극계에 기여한 원로 연극인들의 업적을 기리기 위한 행사로 선정 연극인들의 대표작을 한 자리에서 만나볼 수 있는 의미 있는 연극 축제다.
2018 온세대합창페스티벌,,2018-08-18,2018-08-25,춘천시문화재단,춘천시내 일원,"가족합창단 14팀, 지역합창단 10팀, 소년소녀합창단 6팀 등 약 1,200명의 연주자가 참여한 2018 온 세대 합창 페스티벌은 피날레 공연 3,000여명 등 누적 관객이 6천여명으로 집계되었으며 많은 관객들의 호평을 받았다."
제3회 경기남부 합창페스티벌,3회,2018-08-18,2018-08-18,경기남부합창페스티벌조직위원회,평촌아트홀,"제3회 경기남부합창페스티벌은 오후 1시에는 소년소녀합창제가, 오후 6시에는 일반 성인합창제가 열렸는데 소년소녀합창단 6팀, 일반합창단 8팀 등 모두 14팀이 참가했다."
2018 재즈인대구페스티벌,,2018-08-18,2018-08-19,"달서문화재단, 달서문화재단 웃는얼굴아트센터",웃는얼굴아트센터,"2018 재즈 인 대구 페스티벌이 8월 18일부터 19일까지 대구 웃는얼굴 아트센터에서 개최됐다. 다양한 아티스트들 중에서도, 네덜란드의 버스키토스(Busquitos)의 공연이 8월 18일에 진행됐다."
제3회 제주더불어-놀다연극제,3회,2018-08-18,2018-09-12,제주특별자치도 제주시,"제주아트센터, 제주문예회관 소극장, 한라아트홀 소극장, 미예랑소극장, 예술공간 오이, 두근두근씨어터","한국연극협회제주도지회 소속 극단가람의 주제작품 ‘우리 이제 사돈 아니우꽈’가 18, 19일 오후 3시 제주아트센터에서 열렸다. 두 번째 공연으로 서울 극단 예모리의 축하작품 ‘성실하고 창조적인’이 21, 22일 오후 7시 30분 제주문예회관 소극장에서 펼쳐졌다. 서울 극단 유목민과 전주 극단 혜윰의 초청작품도 무대에 올랐다. 한국연극협회제주도지회 소속 극단 정낭, 퍼포먼스단 몸짓, 극단 이어도의 작품도 관람할 수 있었다."
2018 수원발레축제,4회,2018-08-20,2018-08-26,수원시,"수원 제1야외음악당, 수원SK아트리움","<2018수원발레축제>는 국내 최정상의 여섯 개 민간발레단(유니버설 발레단, 서울발레시터, 이원국발레단, SEO(서)발레단, 와이즈발레단, 김옥련발레단)이 함께 해 발레의 아름다움과 대중화를 이끌었다."
2018 제6회 대전청년 유니브연극제,6회,2018-08-20,2018-08-26,대전 민예총,"아산극장, 뿌리공원, 상상아트홀","제6회 대전청년유니브연극제'는 2018년 20-26일 아신극장1관·2관, 커튼콜, 상상아트홀 등 대흥동일대 소극장에서 진행되며 개막식에는 참가팀 소개 및 개막 축하무대가 펼쳐졌다."
제19회 울산재즈페스티벌,19회,2018-08-21,2018-08-23,울산재즈페스티벌 협회,"울산 중구 문화의 거리 로얄앵커, 플러그인","국내 5팀, 해외 7팀이 참여하였다. ‘음악이 있는 밤’을 연출하는 공간은 라이브클럽 ‘로얄앵커’와 소극장 ‘플러그인’. 두 곳에서는 매일밤 4차례씩 새로운 재즈 뮤지션들의 공연이 펼쳐졌다."
2018 제12회 우리춤대축제,12회,2018-08-22,2018-08-23,사단법인 우리춤협회,마포아트센터 아트홀 맥,우리춤협회에서는 제12회 우리춤대축제를 마포아트센터 아트맥홀에서 8월 22일과 23일 양일간 진행했다.
서귀포오페라페스티벌,,2018-08-22,2018-08-25,"문화체육관광부, 한국문화예술위원회, 서귀포예술의전당",서귀포예술의전당,"<문화도시 서귀포,서귀포오페라페스티벌>을 8월 22일(수)부터 25일(토)까지 개최해 오페라의 거장 베르디의 <라 트라비아타> 갈라콘서트와 전막 오페라 <리골레토>를 선보였다."
2018 여수국제음악제,2회,2018-08-23,2018-08-26,범민문화재단,GS칼텍스 예울마루,재단법인 범민문화재단(이사장 박석현)은 ‘2018여수국제음악제&앙상블’을 8월 23일부터 26일까지 4일간 총 4회에 걸쳐 여수 예울마루에서 개최했다. 여수 출신의 세계적인 연주자인 김소진이 나서서 작년에 이어 올해도 예술감독을 맡았다.
2018 온 세대 합창 페스티벌,4회,2018-08-23,2018-08-31,"춘천시문화재단, 춘천시립합창단",춘천시내일원,"올해 4회째인 페스티벌은 '잊을 수 없는 추억, 기적의 하모니'라는 슬로건으로 지난달 23일 사전공연에 이어 27일 개막해 다양한 공연을 한 뒤 31일 오후 막을 내렸다."
2018 야한수성페스티벌,,2018-08-24,2018-08-26,"한국문화예술위원회, (재)수성문화재단 수성아트피아","수성아트피아 용지홀, 야외광장 일대","수성아트피아 용지홀에서는 인디밴드 콘서트가 진행되며 야외광장 특설무대에서는 거리극, 넌버벌 퍼포먼스, 댄스 공연이 펼쳐졌다."
2018 트라이보울재즈페스티벌,,2018-08-24,2018-08-26,"인천광역시, 인천문화재단",송도 트라이보울,24일에 국내 젊은 뮤지션들이 무대를 꾸몄다. 싱어송라이터 오왠(O.WHEN)과 화려한 연주력으로 사랑받고 있는 비브라폰 연주자 마더바이브가 무대에 올랐다. 25일에는 해외파 뮤지션과 재즈 콜라보레이션 공연들이 준비됐다. 유명 여성 보컬인 허르처 베로니카는 이번 재즈페스티벌을 통해 한국에서 첫 선을 보였다. 허르처 베로니카는 기타리스트 제만트 바린트와 공연했다.
2018 제24회 창무국제공연예술제,24회,2018-08-27,2018-09-02,창무국제공연예술제 조직위원회,"서울남산국악당 크라운 해태홀, 대학로예술극장 대극장, 포스트극장","우리나라를 비롯 중국, 태국, 뉴질랜드 등 전통을 기반으로 한 세계 컨템포러리 댄스의 장이 펼쳐졌다. 예술제는 9월 2일 일요일까지 7일간, 총 7개국 21개 작품이 무대에 오르고, 워크샵, 포럼 등 부대행사도 마련됐다."
제6회 국악관현악축제,6회,2018-08-28,2018-08-28,(사)한국음악협회,국립국악원 예악당,"박범훈의 25현 가야금협주곡 ‘경드름산조’, 안현정의 남창가곡과 국악관현악 ‘흐르고 흐르노니’, 박일훈의 18현 가야금협주곡 ‘황’, 선중규의 국악관현악 ‘소만 바람부니, 김매는 소리 들리네’, 강순미의 18현 가야금협주곡 ‘동자, 그 순수함’이다. 지휘는 원영석, 관현악단은 이화국악관현악단이 참여하고 25현가야금, 18현가야금, 남창가곡 협연으로 더욱 풍성한 무대와 다채로운 음악으로 공연이 채워졌다."
2018 제11회 K-Ballet World,11회,2018-08-28,2018-09-06,한국발레협회,"예술의 전당 CJ토월극장, 유니버설아트센터, 마포아트센터",2018년 8월 28일(화)부터 9월 6일(목)까지 제11회 K-Ballet World가  개최됐다.
제27회 전국무용제,27회,2018-08-30,2018-09-08,"한국문화예술위원회, (사)한국무용협회",청주예술의전당 일원,"‘맑은 바람, 고은 춤 충북 청주’라는 슬로건으로 개최되는 이번 대회는 21년 만에 충북에서 개최되는 무용 대축제로 8월 30일 청주예술의전당 대공연장에서 개막식을 시작으로 31일부터 본격적인 경연대회를 거쳐 마지막날인 9월 8일 폐막식과 시상식이 열렸다."
2018 동해인형극제,,2018-08-31,2018-09-01,동해시,동해예술회관 대공연장,"강원 동해시는 제1회 동해시 평생학습축제의 성공적인 개최를 위해 온 가족이 함께 즐길 수 있는 ‘2018 동해인형극제’를 8월 31일부터 9월 1일까지 2일간 동해시문화예술회관 대공연장에서 무료로 개최했다. 인형극제의 첫날인 31일 저녁7시 개막공연은 라이브로 듣는 클래식과 아름다운 흐름의 그림자극이 함께하는《극단(영)》의 '백조의 호수'공연을 시작으로, 9월 1일에는 시립도서관에서 창단한 《동해인형극단》 에서 준비한 풍자와 익살스러운 해학이 잘 나타나 있는 '별주부전'과 《개구쟁이인형극단》의 '개와 고양이' 작품을 2일간 3차례에 걸쳐 인형극 공연을 펼쳤다."
2018 순천만국제교향악축제,3회,2018-08-31,2018-09-02,순천시,순천만국가정원 동문 잔디마당,"2018순천만국제교향악축제는 프리마돈나 조수미의 개막공연을 시작으로 60년 전통의 세계최정상 이탈리아 실내악단 이무지치, 마에스트로 금난새, 첼리스트 송영훈, 트럼페티스트 드리트리 로카렌코프, 팝페라 그룹 컨템포디포와 지역음악가, 국내최정상 오케스트라의 공연으로 나흘간 순천을 음악으로 수놓았다."
2018 제9회 부산마루국제음악제,9회,2018-08-31,2018-10-16,부산시,"부산문화회관, 국립부산국악원, 부산전역",음유시인의 숨결 The Spirit of a Troubadour'등 7가지 테마로 열렸다.
2018 대구춤페스티발,26회,2018-09-01,2018-09-01,대구무용진흥회,웃는 얼굴 아트센터 청룡홀,"대구 춤페스티벌은 실험적이고 도전적인 지역의 젊은 안무가들의 무대로 꾸며졌다. 올해는 한국무용, 현대무용, 발레 등 각 분야의 무용단체 6팀이 참가했다."
2018 현대차그룹 대학 뮤지컬 연극 페스티벌,6회,2018-09-02,2018-09-02,"현대차그룹, (사)한국공연프로듀서협회",문화비축기지,"올해로 6회를 맞이하는 ‘현대차그룹 대학 연극 뮤지컬 페스티벌’은 우리나라 공연예술계의 미래를 이끌어 갈 역량 있는 청년 공연예술인을 발굴하고 지원하는 공연예술 경연대회로, 올해는 전국 75개팀 2300여명의 대학생들이 예선에 참여한 데 이어 연극 3팀, 뮤지컬 7팀이 본선에 올라 경합을 펼쳤다. 8월 19일부터 31일까지 대학로에서 펼쳐진 본선은 전 공연이 관객점유율 85%이상을 기록하며 큰 호응 속에 성료됐다."
2018 구미 아시아 연극제,,2018-09-03,2018-09-09,구미시,"국립금오공과대학교 대강당, 소극장 공터 다, 구미시 일대",2018 구미아시아연극제 공식공연행사는 한·중·일의 해외 및 국내 공연작품 6개가 금오공대 대강당과 소극장공터다에서 나누어 개최됐다.
제7회 단편극페스티발 각양각색,7회,2018-09-04,2018-09-14,극단동숭무대 단편극프로젝트,동숭무대 소극장,"9월 4-7일 극단 민예의 <체크메이트>, 극단 가변의 <진저브레드맨>, 9월 8-10일 극단 인간극장의 <폭죽놀이>,극단 안다미로 <아빠들의 소꿉놀이> 그리고 9월 11-14일 극단 동숭무대 <긴 귀향 항로>, 대한민국연극네트워크사업단 <그대에게 출혈하다>가 무대에 올랐다."
제11회 김해국제음악제,11회,2018-09-04,2018-09-17,"김해시, 인제대학교","김해문화의전당, 김해서부문화센터",이번 음악제는 프랑스 작곡가 드뷔시의 서거 100주년을 기념해 드뷔스 음악을 위주로 한 ‘드뷔시와 프랑스 감성 속으로’라는 주제로 진행됐다.
제48회 강릉예술축전,48회,2018-09-04,2018-09-17,"강릉시, 강릉예총","강릉아트센터 소공연장, 전시실 앞 광장, 북카페",강릉예총(회장 박선자)이 주관하는 이번 축전은 강릉아트센터 일원과 작은공연장 ‘단’에서 다채롭게 진행되었다.
2018한국마임 <삼선과 놀다>,30회,2018-09-05,2018-09-09,한국마임협의회,"여행자극장, 사다리움직임연구소 스튜디오, 성북천 분수마루, 가압장 등 야외공간",2018년 9월 5일부터 9월 9일까지 진행된 한국 마임 축제는 한성대입구역 일대에서 진행되었다.
현대자동차그룹과 함께하는2018 지역아동극축제,,2018-09-05,2018-10-18,아시테지 한국본부,"도둔초등학교 강당, 미르초등학교 강당, 안산원곡초등학교 다목적실, 안산서초등학교 체육관, 가림초등학교 강당, 백운초등학교 강당, 달성문화센터 백년홀, 군포문화예술회관 철쭉홀, 화천문화예술회관 대강당","이번 축제는 경기,인천,광주 등에 위치한 초등학교 6곳에서 진행하는 스쿨시어터 프로그램과 대구,경기,강원 지역 문예회관 총 3곳에서 진행하는 우수아동극 프로그램으로 나뉘어 진행됐다."
제3회 M-PAT 클래식 음악 축제,3회,2018-09-05,2018-10-26,"마포구, 마포문화재단",마포구 전역,"본 행사는 ‘K-클래식 스페셜’, ‘야외 제작 오페라’, ‘클래식 마포 관광브랜드’, ‘특별한 공간, 특별한 클래식’, ‘미래세대 발굴 프로젝트’, ‘마포, 구석구석 클래식’ 등 7개 테마 아래 79회 공연, 500명의 아티스트, 4만2천명의 관객이 참여했다."
2018 K-ARTS플랫폼 페스티벌 IN 공연,4회,2018-09-06,2018-09-08,한국예술종합학교,한국예술종합학교 석관캠퍼스,"‘2018 K-Arts 플랫폼 페스티벌’은 6일부터 8일까지 한국예술종합학교 석관동캠퍼스 예술극장 및 무대 곳곳에서 3일간 다채롭게 펼쳐졌다. 축제프로그램은 실내 극장에서 펼쳐지는 IN공연 5개 작품과 야외극장에서 펼쳐진 OUT공연 12개 작품, 마을주민과 예술가들이 함께하는 아트마켓 부스 16개가 펼쳐졌다."
2018 수원재즈페스티벌,,2018-09-07,2018-09-08,수원시,"광교호수공원 야외무대, 스포츠클라이밍장 앞 잔디광장","독일에서 온 재즈콰이어 프라이부르크가 정통 클래식과 재즈, 발라드, 팝, 라틴, 뮤지컬을 아우르는 다양한 보컬 재즈로 첫 무대를 장식했다. 수원시와 자매도시라는 인연으로 특별 초청된 이들은 재즈의 리듬과 합창의 하모니를 절묘하게 이끌며 환상적인 공연을 펼쳤다. 바통을 이어받은 국내 재즈의 기대주 윤석철 트리오는 다수의 국제재즈페스티벌 콩쿠르 입상 경력을 과시하기라도 하듯 정상급 실력을 유감없이 뽐냈다. 발라드, 소울의 황제 JK 김동욱 밴드가 무대에 등장하면서 재즈 무대는 절정을 이뤘다."
2018 장애인문화예술축제 'A+ Festival',,2018-09-07,2018-09-09,한국장애인문화예술단체 총연합회,광화문광장,"개막 공연을 필두로 다양한 장애인문화예술전문단체들이 광화문 광장 북측에 설치된 StageA와 광장 남측에 설치된 Stage+에서 국악, 클래식, 합창 등의 음악뿐 아니라 무용, 뮤지컬, 낭독쇼, 패션쇼 등을 다양하게 선보이며 무대 주변에서 공예, 영상, 회화, 서예 등의 전시도 함께 진행했다."
2018 춤&판 고무신 춤축제,,2018-09-07,2018-09-12,사단법인 한국춤협회,"강동아트센터 대극장 한강, 소극장 드림","춤&판'은 그동안 (사)한국춤협회에서 개최하였던 한국 전통춤 페스티벌의 형식을 이어받아 신진 및 중견 무용수들이 독무형태의 전통춤판을 벌이는 공연이다. 즉 '세대 간 소통'에 방점을 찍고, 전통과 현대, 류파와 계충간의 벽이 허물어진 쌍방형 춤 축제를 지향함으로써 결국 한국의 전통춤과 창작춤 모두의 발전을 도모하고 이를 토대로 우리 한국춤의 세계적인 성장을 추구하게 되는 것이다. 9월 7일(금)부터 9일(토)까지 3일간 진행되는 '춤&판'은 하루에 7명의 전통춤 무용가들이 다양한 한국 전통춤의 진수를 선보였다."
제25회 소백예술제 ,25회,2018-09-07,2018-09-16,"영주시, (사)한국예술문화단체총연합회영주지회","시민회관, 서천둔치","소백예술제는 7일 오후 7시 개막식 및 축하공연을 시작으로 국악공연 ‘2018 풍류’, 2018 영주무용페스티벌, 2018 행복콘서트, 제24회 애창곡의 밤, 덴동어미 화전놀이, 연극공연 ‘복사꽃 지면 송화 날리고’ 등의 공연행사가 열렸다."
